time,ghics_pvlib,zen,ghi,ghi_ns,ghics_rest
2019/1/1 12:05,0,103.188,,0,0
2019/1/1 12:10,0,102.28,,0,0
2019/1/1 12:15,0,101.388,,0,0
2019/1/1 12:20,0,100.492,,0,0
2019/1/1 12:25,0,99.604,,0,0
2019/1/1 12:30,0,98.72,,0,0
2019/1/1 12:35,0,97.84,,0,0
2019/1/1 12:40,0,96.966,,0,0
2019/1/1 12:45,0,96.096,,0,0
2019/1/1 12:50,0,95.232,,0,0
2019/1/1 12:55,0,94.372,,0,0
2019/1/1 13:00,0,93.52,,0,0
2019/1/1 13:05,0,92.674,,0,0
2019/1/1 13:10,0,91.834,,0,0
2019/1/1 13:15,0,90.852,,0,0
2019/1/1 13:20,0.418253615,89.568,,0,0
2019/1/1 13:25,2.139067673,88.906,,14,14
2019/1/1 13:30,5.701353176,88.192,,3,20
2019/1/1 13:35,11.30511237,87.45,,4,28
2019/1/1 13:40,18.79524167,86.7,,5,37
2019/1/1 13:45,27.85909694,85.942,,6,47
2019/1/1 13:50,38.16312361,85.186,,7,57
2019/1/1 13:55,49.41189315,84.43,,8,68
2019/1/1 14:00,61.36306979,83.68,,9,80
2019/1/1 14:05,73.82417536,82.936,,11,92
2019/1/1 14:10,86.64399063,82.196,,12,104
2019/1/1 14:15,99.70366897,81.468,,13,116
2019/1/1 14:20,112.909211,80.744,,14,128
2019/1/1 14:25,126.1855436,80.032,,16,141
2019/1/1 14:30,139.4720153,79.33,31.34,17,153
2019/1/1 14:35,152.7190217,78.632,36.14,19,165
2019/1/1 14:40,165.8854721,77.948,40,20,178
2019/1/1 14:45,178.9369079,77.274,43.8,22,189
2019/1/1 14:50,191.8440687,76.61,44.84,23,201
2019/1/1 14:55,204.581825,75.96,46.32,25,213
2019/1/1 15:00,217.1283497,75.32,49.48,26,225
2019/1/1 15:05,229.4644915,74.692,55.36,34,237
2019/1/1 15:10,241.5732847,74.076,53.94,31,248
2019/1/1 15:15,253.4395674,73.47,51.68,27,260
2019/1/1 15:20,265.0496859,72.884,53.2,26,271
2019/1/1 15:25,276.3912513,72.308,39.3,29,282
2019/1/1 15:30,287.4529597,71.744,36.18,24,292
2019/1/1 15:35,298.2244314,71.198,39.54,27,302
2019/1/1 15:40,308.6960973,70.664,46.58,30,312
2019/1/1 15:45,318.8590943,70.146,38.84,30,322
2019/1/1 15:50,328.7051875,69.642,34,31,332
2019/1/1 15:55,338.2267038,69.158,39.2,39,341
2019/1/1 16:00,347.4164758,68.684,39.24,41,350
2019/1/1 16:05,356.2678003,68.23,37.96,42,359
2019/1/1 16:10,364.7743961,67.794,42.7,41,367
2019/1/1 16:15,372.9303792,67.372,42.62,38,375
2019/1/1 16:20,380.7302299,66.97,43.38,42,383
2019/1/1 16:25,388.1687773,66.584,46,44,390
2019/1/1 16:30,395.2411764,66.216,46.64,47,397
2019/1/1 16:35,401.9428958,65.868,43.96,48,404
2019/1/1 16:40,408.269703,65.538,48.32,48,410
2019/1/1 16:45,414.2176535,65.23,42.9,50,416
2019/1/1 16:50,419.7830833,64.934,41.52,46,421
2019/1/1 16:55,424.9625975,64.662,41.16,48,426
2019/1/1 17:00,429.7530682,64.41,40.12,52,431
2019/1/1 17:05,434.1516243,64.178,44.08,52,435
2019/1/1 17:10,438.1556502,63.97,38.54,52,439
2019/1/1 17:15,441.7627797,63.774,41.48,52,443
2019/1/1 17:20,444.9708933,63.604,42.08,53,446
2019/1/1 17:25,447.7781156,63.454,42.06,53,449
2019/1/1 17:30,450.182812,63.324,46.42,49,451
2019/1/1 17:35,452.1835879,63.22,45.88,49,453
2019/1/1 17:40,453.7792859,63.132,47.34,46,455
2019/1/1 17:45,454.9689857,63.07,53.2,52,456
2019/1/1 17:50,455.7520019,63.024,58.22,58,456
2019/1/1 17:55,456.1278842,63.002,48.48,58,457
2019/1/1 18:00,456.0964165,63.002,53.78,60,457
2019/1/1 18:05,455.657617,63.022,63.2,62,456
2019/1/1 18:10,454.8117377,63.062,61.7,57,456
2019/1/1 18:15,453.5592653,63.128,48.42,59,454
2019/1/1 18:20,451.900921,63.212,48.62,65,453
2019/1/1 18:25,449.8376622,63.32,43.68,68,451
2019/1/1 18:30,447.3706822,63.448,53.94,76,448
2019/1/1 18:35,444.5014132,63.598,60.18,81,445
2019/1/1 18:40,441.2315261,63.768,59.58,84,442
2019/1/1 18:45,437.5629344,63.96,65.36,78,439
2019/1/1 18:50,433.4977953,64.168,61.92,73,437
2019/1/1 18:55,429.0385132,64.4,55.96,73,432
2019/1/1 19:00,424.1877436,64.652,54.44,66,427
2019/1/1 19:05,418.9483956,64.924,55.16,56,422
2019/1/1 19:10,413.32364,65.21,54.5,55,417
2019/1/1 19:15,407.3169109,65.524,45.88,56,411
2019/1/1 19:20,400.9319169,65.854,47.48,46,404
2019/1/1 19:25,394.1726453,66.202,45.92,45,398
2019/1/1 19:30,387.0433748,66.568,47.7,51,391
2019/1/1 19:35,379.5486847,66.952,40.68,44,384
2019/1/1 19:40,371.6934687,67.354,36.88,37,376
2019/1/1 19:45,363.482952,67.774,39.42,36,368
2019/1/1 19:50,354.9227072,68.21,36.02,36,360
2019/1/1 19:55,346.018681,68.666,29.42,27,351
2019/1/1 20:00,336.7772151,69.138,29.06,30,342
2019/1/1 20:05,327.2050848,69.622,22.28,24,332
2019/1/1 20:10,317.3095308,70.124,22.5,23,323
2019/1/1 20:15,307.098311,70.642,23.54,22,313
2019/1/1 20:20,296.5797528,71.174,18.82,25,302
2019/1/1 20:25,285.7628225,71.72,22.26,20,292
2019/1/1 20:30,274.6572099,72.284,26.38,20,281
2019/1/1 20:35,263.2734265,72.858,24.66,23,269
2019/1/1 20:40,251.6229374,73.45,24.66,23,258
2019/1/1 20:45,239.7183102,74.05,27.52,22,247
2019/1/1 20:50,227.5734187,74.664,31.12,21,235
2019/1/1 20:55,215.2036804,75.292,26.66,19,223
2019/1/1 21:00,202.6263732,75.93,23.82,18,211
2019/1/1 21:05,189.861027,76.582,24.68,17,199
2019/1/1 21:10,176.9299333,77.244,20.46,16,187
2019/1/1 21:15,163.8588028,77.918,14.58,15,175
2019/1/1 21:20,150.6776178,78.604,14.48,14,162
2019/1/1 21:25,137.4217626,79.3,13.62,13,150
2019/1/1 21:30,124.1335003,80,11.52,12,138
2019/1/1 21:35,110.8639607,80.714,,11,125
2019/1/1 21:40,97.67577276,81.438,,10,113
2019/1/1 21:45,84.64660451,82.166,,9,101
2019/1/1 21:50,71.87386195,82.904,,8,89
2019/1/1 21:55,59.48085058,83.65,,7,77
2019/1/1 22:00,47.62455033,84.4,,6,66
2019/1/1 22:05,36.50460846,85.154,,5,55
2019/1/1 22:10,26.3715866,85.91,,5,45
2019/1/1 22:15,17.52847814,86.67,,4,35
2019/1/1 22:20,10.31102255,87.42,,3,26
2019/1/1 22:25,5.018715882,88.16,,2,19
2019/1/1 22:30,1.764874117,88.876,,13,13
2019/1/1 22:35,0.281093982,89.544,,0,0
2019/1/1 22:40,0,90.82,,0,0
2019/1/1 22:45,0,91.798,,0,0
2019/1/1 22:50,0,92.64,,0,0
2019/1/1 22:55,0,93.482,,0,0
2019/1/1 23:00,0,94.34,,0,0
2019/1/1 23:05,0,95.196,,0,0
2019/1/1 23:10,0,96.06,,0,0
2019/1/1 23:15,0,96.928,,0,0
2019/1/1 23:20,0,97.802,,0,0
2019/1/1 23:25,0,98.68,,0,0
2019/1/1 23:30,0,99.566,,0,0
2019/1/1 23:35,0,100.454,,0,0
2019/1/1 23:40,0,101.35,,0,0
2019/1/1 23:45,0,102.25,,0,0
2019/1/1 23:50,0,103.15,,0,0
2019/1/1 23:55,0,104.052,,0,0
2019/1/2 0:00,0,104.962,,0,0
2019/1/2 0:05,0,105.876,,0,0
2019/1/2 0:10,0,106.794,,0,0
